AsAt,OccGroup,Score,n
08/2025,2349 Other Natural and Physical Science Professionals,55,9
08/2025,2349 Other Natural and Physical Science Professionals,60,24
08/2025,2349 Other Natural and Physical Science Professionals,50,2
08/2025,2349 Other Natural and Physical Science Professionals,40,1
08/2025,1331 Construction Managers,65,371
08/2025,1331 Construction Managers,75,360
08/2025,1331 Construction Managers,70,366
08/2025,1331 Construction Managers,80,192
08/2025,1331 Construction Managers,90,8
08/2025,1331 Construction Managers,85,86
08/2025,1331 Construction Managers,55,57
08/2025,1331 Construction Managers,60,91
08/2025,1331 Construction Managers,50,20
08/2025,1331 Construction Managers,40,1
08/2025,1331 Construction Managers,45,4
08/2025,2343 Environmental Scientists,65,66
08/2025,2343 Environmental Scientists,75,76
08/2025,2343 Environmental Scientists,70,73
08/2025,2343 Environmental Scientists,80,83
08/2025,2343 Environmental Scientists,95,3
08/2025,2343 Environmental Scientists,90,40
08/2025,2343 Environmental Scientists,85,80
08/2025,2343 Environmental Scientists,55,10
08/2025,2343 Environmental Scientists,60,24
08/2025,2343 Environmental Scientists,50,2
08/2025,2343 Environmental Scientists,40,1
08/2025,2343 Environmental Scientists,45,2
08/2025,2711 Barristers,65,2
08/2025,2711 Barristers,75,1
08/2025,2711 Barristers,80,1
08/2025,2711 Barristers,85,1
08/2025,3132 Telecommunications Technical Specialists,65,137
08/2025,3132 Telecommunications Technical Specialists,75,101
08/2025,3132 Telecommunications Technical Specialists,70,108
08/2025,3132 Telecommunications Technical Specialists,80,65
08/2025,3132 Telecommunications Technical Specialists,95,1
08/2025,3132 Telecommunications Technical Specialists,90,16
08/2025,3132 Telecommunications Technical Specialists,85,29
08/2025,3132 Telecommunications Technical Specialists,55,28
08/2025,3132 Telecommunications Technical Specialists,60,50
08/2025,3132 Telecommunications Technical Specialists,50,15
08/2025,3132 Telecommunications Technical Specialists,40,1
08/2025,3132 Telecommunications Technical Specialists,45,2
08/2025,3312 Carpenters and Joiners,65,153
08/2025,3312 Carpenters and Joiners,75,12
08/2025,3312 Carpenters and Joiners,70,16
08/2025,3312 Carpenters and Joiners,80,2
08/2025,3312 Carpenters and Joiners,85,1
08/2025,3312 Carpenters and Joiners,55,43
08/2025,3312 Carpenters and Joiners,60,127
08/2025,3312 Carpenters and Joiners,50,19
08/2025,3312 Carpenters and Joiners,40,1
08/2025,3312 Carpenters and Joiners,45,3
08/2025,3312 Carpenters and Joiners,35,1
08/2025,2725 Social Workers,65,164
08/2025,2725 Social Workers,75,276
08/2025,2725 Social Workers,70,218
08/2025,2725 Social Workers,80,192
08/2025,2725 Social Workers,85,31
08/2025,2725 Social Workers,55,15
08/2025,2725 Social Workers,60,25
08/2025,2725 Social Workers,50,2
08/2025,2725 Social Workers,40,1
08/2025,2725 Social Workers,45,1
08/2025,3322 Painting Trades Workers,65,331
08/2025,3322 Painting Trades Workers,75,5
08/2025,3322 Painting Trades Workers,70,95
08/2025,3322 Painting Trades Workers,80,1
08/2025,3322 Painting Trades Workers,55,26
08/2025,3322 Painting Trades Workers,60,83
08/2025,3322 Painting Trades Workers,50,9
08/2025,3322 Painting Trades Workers,45,3
08/2025,3423 Electronics Trades Workers,65,85
08/2025,3423 Electronics Trades Workers,75,54
08/2025,3423 Electronics Trades Workers,70,63
08/2025,3423 Electronics Trades Workers,80,17
08/2025,3423 Electronics Trades Workers,85,12
08/2025,3423 Electronics Trades Workers,55,16
08/2025,3423 Electronics Trades Workers,60,48
08/2025,3423 Electronics Trades Workers,50,2
08/2025,3423 Electronics Trades Workers,45,2
08/2025,2521 Chiropractors and Osteopaths,65,9
08/2025,2521 Chiropractors and Osteopaths,75,98
08/2025,2521 Chiropractors and Osteopaths,70,14
08/2025,2521 Chiropractors and Osteopaths,80,9
08/2025,2521 Chiropractors and Osteopaths,90,1
08/2025,2521 Chiropractors and Osteopaths,85,1
08/2025,2521 Chiropractors and Osteopaths,55,1
08/2025,2521 Chiropractors and Osteopaths,60,3
08/2025,2521 Chiropractors and Osteopaths,50,1
08/2025,3941 Cabinetmakers,65,26
08/2025,3941 Cabinetmakers,75,4
08/2025,3941 Cabinetmakers,70,25
08/2025,3941 Cabinetmakers,80,2
08/2025,3941 Cabinetmakers,85,3
08/2025,3941 Cabinetmakers,55,3
08/2025,3941 Cabinetmakers,60,6
08/2025,3941 Cabinetmakers,50,5
08/2025,3941 Cabinetmakers,45,2
08/2025,2243 Economists,65,25
08/2025,2243 Economists,75,31
08/2025,2243 Economists,70,19
08/2025,2243 Economists,80,36
08/2025,2243 Economists,90,5
08/2025,2243 Economists,85,29
08/2025,2243 Economists,55,8
08/2025,2243 Economists,60,12
08/2025,2243 Economists,50,2
08/2025,3311 Bricklayers and Stonemasons,65,6
08/2025,3311 Bricklayers and Stonemasons,70,3
08/2025,3311 Bricklayers and Stonemasons,55,13
08/2025,3311 Bricklayers and Stonemasons,60,19
08/2025,3311 Bricklayers and Stonemasons,50,3
08/2025,3311 Bricklayers and Stonemasons,45,1
08/2025,1342 Health and Welfare Services Managers,65,19
08/2025,1342 Health and Welfare Services Managers,75,7
08/2025,1342 Health and Welfare Services Managers,70,16
08/2025,1342 Health and Welfare Services Managers,80,6
08/2025,1342 Health and Welfare Services Managers,90,1
08/2025,1342 Health and Welfare Services Managers,85,4
08/2025,1342 Health and Welfare Services Managers,55,1
08/2025,1342 Health and Welfare Services Managers,60,19
08/2025,2539 Other Medical Practitioners,65,50
08/2025,2539 Other Medical Practitioners,75,116
08/2025,2539 Other Medical Practitioners,70,88
08/2025,2539 Other Medical Practitioners,80,33
08/2025,2539 Other Medical Practitioners,85,4
08/2025,2539 Other Medical Practitioners,55,8
08/2025,2539 Other Medical Practitioners,60,20
08/2025,2539 Other Medical Practitioners,50,2
08/2025,3411 Electricians,65,7
08/2025,3411 Electricians,75,2
08/2025,3411 Electricians,70,6
08/2025,3411 Electricians,80,1
08/2025,3411 Electricians,55,24
08/2025,3411 Electricians,60,33
08/2025,3411 Electricians,50,22
08/2025,3411 Electricians,40,1
08/2025,3411 Electricians,45,9
08/2025,3411 Electricians,35,1
08/2025,2525 Physiotherapists,65,94
08/2025,2525 Physiotherapists,75,179
08/2025,2525 Physiotherapists,70,156
08/2025,2525 Physiotherapists,80,27
08/2025,2525 Physiotherapists,85,2
08/2025,2525 Physiotherapists,55,15
08/2025,2525 Physiotherapists,60,19
08/2025,2525 Physiotherapists,50,4
08/2025,2525 Physiotherapists,40,2
08/2025,2512 Medical Imaging Professionals,65,30
08/2025,2512 Medical Imaging Professionals,75,56
08/2025,2512 Medical Imaging Professionals,70,69
08/2025,2512 Medical Imaging Professionals,80,9
08/2025,2512 Medical Imaging Professionals,85,1
08/2025,2512 Medical Imaging Professionals,55,2
08/2025,2512 Medical Imaging Professionals,60,2
08/2025,"4523 Sports Coaches, Instructors and Officials",65,2
08/2025,"4523 Sports Coaches, Instructors and Officials",75,1
08/2025,"4523 Sports Coaches, Instructors and Officials",70,2
08/2025,"4523 Sports Coaches, Instructors and Officials",80,2
08/2025,"4523 Sports Coaches, Instructors and Officials",90,1
08/2025,"4523 Sports Coaches, Instructors and Officials",85,1
08/2025,"4523 Sports Coaches, Instructors and Officials",55,2
08/2025,"4523 Sports Coaches, Instructors and Officials",60,1
08/2025,3222 Sheetmetal Trades Workers,65,1
08/2025,3222 Sheetmetal Trades Workers,75,2
08/2025,3222 Sheetmetal Trades Workers,80,1
08/2025,3222 Sheetmetal Trades Workers,55,1
08/2025,3222 Sheetmetal Trades Workers,60,1
08/2025,2527 Speech Professionals and Audiologists,65,44
08/2025,2527 Speech Professionals and Audiologists,75,57
08/2025,2527 Speech Professionals and Audiologists,70,62
08/2025,2527 Speech Professionals and Audiologists,80,11
08/2025,2527 Speech Professionals and Audiologists,90,1
08/2025,2527 Speech Professionals and Audiologists,55,7
08/2025,2527 Speech Professionals and Audiologists,60,9
08/2025,2527 Speech Professionals and Audiologists,50,2
08/2025,2524 Occupational Therapists,65,66
08/2025,2524 Occupational Therapists,75,140
08/2025,2524 Occupational Therapists,70,91
08/2025,2524 Occupational Therapists,80,18
08/2025,2524 Occupational Therapists,90,4
08/2025,2524 Occupational Therapists,85,3
08/2025,2524 Occupational Therapists,55,7
08/2025,2524 Occupational Therapists,60,14
08/2025,2524 Occupational Therapists,45,2
08/2025,2519 Other Health Diagnostic and Promotion Professionals,65,2
08/2025,2519 Other Health Diagnostic and Promotion Professionals,70,2
08/2025,2519 Other Health Diagnostic and Promotion Professionals,80,1
08/2025,3421 Airconditioning and Refrigeration Mechanics,65,13
08/2025,3421 Airconditioning and Refrigeration Mechanics,75,1
08/2025,3421 Airconditioning and Refrigeration Mechanics,70,9
08/2025,3421 Airconditioning and Refrigeration Mechanics,80,1
08/2025,3421 Airconditioning and Refrigeration Mechanics,55,3
08/2025,3421 Airconditioning and Refrigeration Mechanics,60,5
08/2025,3421 Airconditioning and Refrigeration Mechanics,50,1
08/2025,3421 Airconditioning and Refrigeration Mechanics,45,1
08/2025,3421 Airconditioning and Refrigeration Mechanics,35,1
08/2025,2346 Medical Laboratory Scientists,65,41
08/2025,2346 Medical Laboratory Scientists,75,144
08/2025,2346 Medical Laboratory Scientists,70,100
08/2025,2346 Medical Laboratory Scientists,80,56
08/2025,2346 Medical Laboratory Scientists,90,3
08/2025,2346 Medical Laboratory Scientists,85,25
08/2025,2346 Medical Laboratory Scientists,55,5
08/2025,2346 Medical Laboratory Scientists,60,14
08/2025,2346 Medical Laboratory Scientists,45,1
08/2025,2415 Special Education Teachers,65,10
08/2025,2415 Special Education Teachers,75,5
08/2025,2415 Special Education Teachers,70,13
08/2025,2415 Special Education Teachers,80,2
08/2025,2415 Special Education Teachers,60,2
08/2025,2723 Psychologists,65,18
08/2025,2723 Psychologists,75,37
08/2025,2723 Psychologists,70,29
08/2025,2723 Psychologists,80,46
08/2025,2723 Psychologists,85,7
08/2025,2723 Psychologists,55,4
08/2025,2723 Psychologists,60,9
08/2025,2541 Midwives,65,9
08/2025,2541 Midwives,75,22
08/2025,2541 Midwives,70,19
08/2025,2541 Midwives,80,4
08/2025,2541 Midwives,55,1
08/2025,2541 Midwives,60,5
08/2025,2541 Midwives,50,1
08/2025,3341 Plumbers,65,6
08/2025,3341 Plumbers,70,3
08/2025,3341 Plumbers,95,1
08/2025,3341 Plumbers,85,1
08/2025,3341 Plumbers,55,2
08/2025,3341 Plumbers,60,10
08/2025,3341 Plumbers,50,2
08/2025,3341 Plumbers,45,1
08/2025,3241 Panelbeaters,65,1
08/2025,3241 Panelbeaters,75,1
08/2025,3241 Panelbeaters,70,2
08/2025,3241 Panelbeaters,90,1
08/2025,3241 Panelbeaters,85,1
08/2025,3241 Panelbeaters,60,1
08/2025,3241 Panelbeaters,50,1
08/2025,3241 Panelbeaters,40,1
08/2025,3991 Boat Builders and Shipwrights,65,6
08/2025,3991 Boat Builders and Shipwrights,75,4
08/2025,3991 Boat Builders and Shipwrights,70,4
08/2025,3991 Boat Builders and Shipwrights,80,5
08/2025,3991 Boat Builders and Shipwrights,95,1
08/2025,3991 Boat Builders and Shipwrights,90,1
08/2025,3991 Boat Builders and Shipwrights,85,3
08/2025,3991 Boat Builders and Shipwrights,55,1
08/2025,3991 Boat Builders and Shipwrights,60,2
08/2025,3991 Boat Builders and Shipwrights,50,1
08/2025,2533 Internal Medicine Specialists,65,6
08/2025,2533 Internal Medicine Specialists,75,9
08/2025,2533 Internal Medicine Specialists,70,8
08/2025,2533 Internal Medicine Specialists,80,3
08/2025,2533 Internal Medicine Specialists,60,6
08/2025,2533 Internal Medicine Specialists,50,1
08/2025,2533 Internal Medicine Specialists,40,1
08/2025,2533 Internal Medicine Specialists,45,1
08/2025,3332 Plasterers,65,2
08/2025,3332 Plasterers,55,1
08/2025,3332 Plasterers,60,10
08/2025,3611 Animal Attendants and Trainers,65,1
08/2025,3611 Animal Attendants and Trainers,70,1
08/2025,3334 Wall and Floor Tilers,65,4
08/2025,3334 Wall and Floor Tilers,70,4
08/2025,3334 Wall and Floor Tilers,55,6
08/2025,3334 Wall and Floor Tilers,60,21
08/2025,3334 Wall and Floor Tilers,50,2
08/2025,2112 Music Professionals,65,11
08/2025,2112 Music Professionals,70,1
08/2025,2112 Music Professionals,80,2
08/2025,2112 Music Professionals,90,1
08/2025,2112 Music Professionals,60,1
08/2025,2112 Music Professionals,50,1
08/2025,"2121 Artistic Directors, and Media Producers and Presenters",85,1
08/2025,3211 Automotive Electricians,65,10
08/2025,3211 Automotive Electricians,75,11
08/2025,3211 Automotive Electricians,70,8
08/2025,3211 Automotive Electricians,80,2
08/2025,3211 Automotive Electricians,85,1
08/2025,3211 Automotive Electricians,55,6
08/2025,3211 Automotive Electricians,60,10
08/2025,3211 Automotive Electricians,50,19
08/2025,3211 Automotive Electricians,40,1
08/2025,3211 Automotive Electricians,45,2
08/2025,2534 Psychiatrists,65,1
08/2025,2534 Psychiatrists,75,4
08/2025,2534 Psychiatrists,70,6
08/2025,2534 Psychiatrists,80,1
08/2025,2534 Psychiatrists,85,1
08/2025,2534 Psychiatrists,60,1
08/2025,2514 Optometrists and Orthoptists,65,1
08/2025,2514 Optometrists and Orthoptists,75,8
08/2025,2514 Optometrists and Orthoptists,70,8
08/2025,2514 Optometrists and Orthoptists,55,1
08/2025,2514 Optometrists and Orthoptists,60,1
08/2025,2535 Surgeons,65,4
08/2025,2535 Surgeons,75,2
08/2025,2535 Surgeons,70,1
08/2025,2535 Surgeons,80,1
08/2025,2535 Surgeons,55,2
08/2025,3422 Electrical Distribution Trades Workers,70,1
08/2025,3422 Electrical Distribution Trades Workers,60,1
08/2025,2526 Podiatrists,65,4
08/2025,2526 Podiatrists,75,12
08/2025,2526 Podiatrists,70,11
08/2025,2526 Podiatrists,55,1
08/2025,"2111 Actors, Dancers and Other Entertainers",75,3
08/2025,"2111 Actors, Dancers and Other Entertainers",80,4
08/2025,"2111 Actors, Dancers and Other Entertainers",60,1
08/2025,4524 Sportspersons,70,1
08/2025,4524 Sportspersons,80,1
07/2025,2613 Software and Applications Programmers,65,1783
07/2025,2613 Software and Applications Programmers,75,2730
07/2025,2613 Software and Applications Programmers,70,2365
07/2025,2613 Software and Applications Programmers,80,2480
07/2025,2613 Software and Applications Programmers,95,1106
07/2025,2613 Software and Applications Programmers,90,2405
07/2025,2613 Software and Applications Programmers,85,2643
07/2025,2613 Software and Applications Programmers,55,244
07/2025,2613 Software and Applications Programmers,60,498
07/2025,2613 Software and Applications Programmers,50,76
07/2025,2613 Software and Applications Programmers,100,317
07/2025,2613 Software and Applications Programmers,105,40
07/2025,2613 Software and Applications Programmers,45,18
07/2025,2613 Software and Applications Programmers,30,1
07/2025,2613 Software and Applications Programmers,25,1
07/2025,2613 Software and Applications Programmers,120,2
07/2025,2613 Software and Applications Programmers,115,1
07/2025,2613 Software and Applications Programmers,125,1
07/2025,3212 Motor Mechanics,65,581
07/2025,3212 Motor Mechanics,75,373
07/2025,3212 Motor Mechanics,70,547
07/2025,3212 Motor Mechanics,80,203
07/2025,3212 Motor Mechanics,95,6
07/2025,3212 Motor Mechanics,90,49
07/2025,3212 Motor Mechanics,85,73
07/2025,3212 Motor Mechanics,55,119
07/2025,3212 Motor Mechanics,60,279
07/2025,3212 Motor Mechanics,50,38
07/2025,3212 Motor Mechanics,40,1
07/2025,3212 Motor Mechanics,45,4
07/2025,2332 Civil Engineering Professionals,65,1392
07/2025,2332 Civil Engineering Professionals,75,1522
07/2025,2332 Civil Engineering Professionals,70,1522
07/2025,2332 Civil Engineering Professionals,80,1156
07/2025,2332 Civil Engineering Professionals,95,84
